alpha,t_bottleneck,severity,duration
1.8356876,14755.524,0.9086872,4073.9631
1.6451967,97941.125,0.12896694,369.48257
1.7984632,37500.79,0.35973012,3572.0012
1.552545,24082.734,0.111571684,4166.86
1.7615085,40027.715,0.8974905,2730.311
1.8581482,84595.234,0.5600496,4129.4946
1.4130719,81482.62,0.27891323,177.97194
1.7867414,26615.7,0.67718166,1906.8472
1.5661598,60309.87,0.4905954,1592.2438
1.5291828,70560.94,0.34778258,3479.8462
1.4529132,63334.94,0.42612615,2323.694
1.7358495,44597.0,0.002261344,3402.2595
1.5510054,78641.23,0.09886956,904.66406
1.4437337,63360.4,0.589412,4634.498
1.7282883,42630.273,0.0463585,3050.8088
1.6672094,9960.736,0.3958622,26.557512
1.712357,72594.46,0.6229951,2369.1135
1.805027,44022.38,0.039457157,1406.7667
1.8248655,90325.77,0.91315794,3095.9849
1.42052,85625.12,0.5554781,3359.0295
1.642425,64576.344,0.72869766,4457.111
1.4969294,14159.415,0.84164256,1770.1726
1.5827469,38641.996,0.5958212,4773.795
1.3214952,25919.213,0.120236516,1777.3663
1.3936805,50384.188,0.16888645,594.8225
1.5648941,76058.72,0.36694363,1560.6615
1.7922596,85735.625,0.43527213,2433.5137
1.6129675,40539.27,0.8110323,2645.0542
1.4931421,13643.202,0.53213227,3042.958
1.4933752,63719.76,0.8452328,59.764446
1.3389238,99683.98,0.20265992,4680.103
1.8481638,9116.61,0.86531484,2804.8071
1.8424623,70165.25,0.85187453,3696.7424
1.6974875,446.7887,0.77020514,1612.6189
1.7526861,40459.176,0.97417116,4643.6177
1.6096967,85942.19,0.39161977,3418.0627
1.6476338,83068.38,0.34592572,3788.4976
1.4264104,11015.995,0.35480213,4256.905
1.8045623,94242.125,0.7523426,3676.4739
1.4238809,51297.44,0.4753912,1283.8878
1.8302152,761.148,0.9533571,1066.1571
1.547381,27569.928,0.1159452,2674.4946
1.7029722,3514.9458,0.2517528,4844.9067
1.8859078,94107.08,0.30660936,4161.014
1.8060458,37210.164,0.038209822,3411.0159
1.6803099,49626.35,0.5222009,816.19257
1.3712039,19649.795,0.6644182,2971.5342
1.4522139,94319.44,0.91301197,4897.2725
1.4927242,5015.116,0.64578944,3461.0024
1.5018759,29215.111,0.2732309,425.26996
1.7489496,66994.2,0.26806867,1722.2875
1.5395156,93351.42,0.9816385,2368.2893
1.7596055,89826.766,0.3102295,4650.083
1.6150972,62601.62,0.2536732,3500.4104
1.4800483,54418.785,0.03488182,802.4239
1.3688583,17896.023,0.015358507,4758.3135
1.5179724,27306.236,0.59400624,53.22379
1.3520895,67078.836,0.17408346,4122.962
1.3192577,37968.082,0.9591249,599.24316
1.4200398,25659.254,0.56549597,4282.9077
1.5205872,20917.28,0.17493224,3320.6016
1.8900332,70123.055,0.5903612,1197.7548
1.3936704,92641.125,0.70387405,2363.477
1.5774267,90012.76,0.634438,4031.4072
1.7733855,51288.91,0.45329508,2022.8943
1.7123883,90803.23,0.10621356,1191.7422
1.4936992,74280.28,0.014607548,1867.0276
1.3728843,40814.473,0.6240427,436.26492
1.7202231,23263.154,0.8344895,1650.8098
1.6186526,97217.94,0.99288154,3305.2175
1.693328,6967.9697,0.26333007,3658.8198
1.8663702,11137.037,0.9617851,1195.6765
1.5657276,73229.54,0.77932477,1640.0297
1.7917107,82522.11,0.40632945,1452.9817
1.8505056,62734.043,0.25057527,2707.6833
1.7773172,88666.23,0.8062531,2118.747
1.8795811,22181.395,0.034872763,4073.0796
1.3784751,46061.45,0.0054495567,2178.6833
1.883182,90062.42,0.2168077,1097.9828
1.3079909,54719.273,0.33770266,1524.2612
1.7261405,13247.724,0.5912843,1142.0198
1.3471779,25433.941,0.37604964,2563.9727
1.8958269,9044.829,0.8584463,874.0715
1.4614357,94737.18,0.93086517,165.34328
1.8321241,73051.086,0.36394817,628.60846
1.6111583,51034.113,0.3215992,204.2826
1.6511338,43987.414,0.33990216,2063.2727
1.7983936,76759.67,0.89042056,996.62836
1.7713004,49161.426,0.99204344,1879.1912
1.6547679,82721.266,0.66405207,1272.6951
1.685508,23044.457,0.04532896,4168.2236
1.8796858,54597.49,0.15451504,1741.7018
1.8394573,58691.652,0.573113,4634.7305
1.5495831,10374.584,0.37969694,4133.5825
1.5094388,35372.617,0.96594286,3840.3064
1.4231125,83666.195,0.2935803,669.00543
1.4733653,37679.36,0.048154153,2903.4084
1.6430465,26652.334,0.093112774,2063.3643
1.6711742,83665.66,0.09739049,1867.8855
1.3135028,59418.875,0.55756944,162.78712
1.3932279,10890.536,0.24102512,2235.075
1.5902662,35145.8,0.9031916,3802.0273
1.7969434,65681.58,0.48144636,1121.5051
1.7423658,46583.094,0.7605719,3920.0933
1.7114085,8731.108,0.38275638,4800.998
1.6504854,51567.516,0.5932559,1624.0192
1.5757201,23007.975,0.24285606,3580.9683
1.5497903,65194.4,0.544674,4929.8804
1.3473741,74651.95,0.5951621,3468.8108
1.6839113,67542.016,0.9979398,2437.9536
1.4100872,43531.33,0.0638312,3557.855
1.7666106,3911.1404,0.40835842,212.34502
1.609737,27680.033,0.8795147,4501.0405
1.4134488,55024.9,0.7349738,400.9978
1.8930575,27280.979,0.38881817,3750.4595
1.7850575,19252.04,0.393973,4282.2515
1.698363,21123.814,0.6222285,2233.6904
1.5355127,80300.195,0.18168293,472.5093
1.8549786,8732.894,0.39684278,3709.975
1.4687158,42269.918,0.94440883,3886.8943
1.6448654,70339.22,0.56633747,2729.7764
1.7031133,25809.904,0.54161155,1768.482
1.6940418,75384.1,0.8950399,2801.7505
1.4465209,64201.39,0.005123138,2569.1042
1.4606227,41554.33,0.96078086,3922.5103
1.6180853,27492.83,0.8323987,3045.3516
1.4109933,21824.047,0.38051543,2747.2878
1.8877531,81572.8,0.2600447,1937.6223
1.6051123,98596.23,0.52927566,2423.9382
1.7759924,13072.993,0.48261967,3418.23
1.8588083,37521.25,0.8292187,842.97235
1.6492987,49387.11,0.6763752,3055.6956
1.5057263,92946.78,0.4226558,2514.355
1.4528838,27144.96,0.20655428,1878.134
1.3194565,20643.041,0.9289354,1394.6882
1.8523139,15029.773,0.92424554,3527.0542
1.3601773,96642.695,0.088890366,4836.2827
1.6558347,3574.1755,0.4039844,4441.2305
1.7969947,60437.11,0.6941581,3144.481
1.5366493,11349.556,0.9000766,1819.2355
1.4260536,57173.03,0.58778,4307.549
